epoch,loss,lr,val_loss
0,1.0493699312210083,1e-04,1.1532224416732788
1,0.5219516754150391,1e-04,0.544035017490387
2,0.3898006081581116,1e-04,0.46996790170669556
3,0.3137303292751312,1e-04,0.34646522998809814
4,0.26386162638664246,1e-04,0.2742338478565216
5,0.2259831428527832,1e-04,0.279320627450943
6,0.19584287703037262,1e-04,0.2554640471935272
7,0.16769078373908997,1e-04,0.27315351366996765
8,0.14531604945659637,1e-04,0.23980200290679932
9,0.12575700879096985,1e-04,0.20597313344478607
10,0.10953502357006073,1e-04,0.18323810398578644
11,0.09657381474971771,1e-04,0.1448085606098175
12,0.08443477004766464,1e-04,0.1330171525478363
13,0.07669223099946976,1e-04,0.15753120183944702
14,0.0706041008234024,1e-04,0.12495015561580658
15,0.06454231590032578,1e-04,0.1340198963880539
16,0.060013044625520706,1e-04,0.20423591136932373
17,0.05703401938080788,1e-04,0.10993891209363937
18,0.054818250238895416,1e-04,0.1299411952495575
19,0.05282647907733917,1e-04,0.13042648136615753
20,0.05111018195748329,1e-04,0.12718631327152252
21,0.05014677718281746,1e-04,0.11959704011678696
22,0.04824245721101761,1e-04,0.08484601229429245
23,0.04624289274215698,1e-04,0.09764156490564346
24,0.045674942433834076,1e-04,0.10155298560857773
25,0.044794242829084396,1e-04,0.09085291624069214
26,0.04351305961608887,1e-04,0.09682190418243408
27,0.04273954778909683,1e-04,0.09385836869478226
28,0.03622090816497803,1e-05,0.061596039682626724
29,0.03350245580077171,1e-05,0.06565345823764801
30,0.03260120749473572,1e-05,0.05958130583167076
31,0.03198225423693657,1e-05,0.05837646871805191
32,0.031463779509067535,1e-05,0.05926351249217987
33,0.03104548715054989,1e-05,0.0578533336520195
34,0.03086150996387005,1e-05,0.05889754742383957
35,0.030460763722658157,1e-05,0.05717386677861214
36,0.03017430379986763,1e-05,0.0556754432618618
37,0.02983556129038334,1e-05,0.056309185922145844
38,0.029583483934402466,1e-05,0.056816503405570984
39,0.029284873977303505,1e-05,0.05522169917821884
40,0.028983043506741524,1e-05,0.05597571283578873
41,0.02877531200647354,1e-05,0.05614849552512169
42,0.028519848361611366,1e-05,0.055880192667245865
43,0.02827848494052887,1e-05,0.05445406213402748
44,0.028086362406611443,1e-05,0.055081143975257874
45,0.027838801965117455,1e-05,0.05671169236302376
46,0.02762831747531891,1e-05,0.05563362315297127
47,0.027389615774154663,1e-05,0.055522605776786804
48,0.027234965935349464,1e-05,0.055878449231386185
49,0.026735680177807808,1e-06,0.055117662996053696
50,0.0266933124512434,1e-06,0.05475354194641113
51,0.02668660134077072,1e-06,0.05496712774038315
52,0.02667531557381153,1e-06,0.05497438460588455
53,0.026616591960191727,1e-06,0.05512133985757828
54,0.026581427082419395,1e-07,0.05500444024801254
55,0.026615504175424576,1e-07,0.05481961742043495
56,0.02647319622337818,1e-07,0.05494770035147667
57,0.02649800293147564,1e-07,0.05501336604356766
58,0.026530155912041664,1e-07,0.054974667727947235
59,0.026567742228507996,1e-07,0.0550391711294651
